num,name,compensation,link,employer,address,site
0,Инженер-сметчик,"{'min': 28000, 'max': 32000, 'val': 'руб'}",https://hhcdn.ru/click?b=198329&place=35,ООО Сити-Строй-Снаб,Тольятти,https://hh.ru
1,Инженер-сметчик,"{'min': 80000, 'val': 'руб'}",https://hhcdn.ru/click?b=199295&place=36,ООО Строительно-производственная компания МЕГАПИР,"Москва, Строгино",https://hh.ru
2,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",https://hh.ru/vacancy/40966210?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГазАртСтрой,Краснодар,https://hh.ru
3,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",https://hh.ru/vacancy/40966209?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГазАртСтрой,Тюмень,https://hh.ru
4,Инженер-лаборант,"{'min': 3000000, 'max': 5000000, 'val': 'сум'}",https://hh.ru/vacancy/40972646?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО DURABLE MANAGEMENT,Ташкент,https://hh.ru
5,Инженер-сметчик,"{'min': 350000, 'max': 450000, 'val': 'KZT'}",https://hh.ru/vacancy/40901807?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80," Сембол Улусларарасы Тарым Туризм Пейзаж Иншаат СанайивеТиджарет Аноним Ширкети в г.Астана, ФАО",Актау,https://hh.ru
6,Инженер ПТО,"{'min': 200000, 'max': 280000, 'val': 'KZT'}",https://hh.ru/vacancy/40914188?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ТОО Каз Строй Монолит,Алматы,https://hh.ru
7,Инженер по охране труда,"{'min': 1000, 'max': 500, 'val': 'бел. руб'}",https://hh.ru/vacancy/40504904?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80," Аврорапласт, ЧУП",Бобруйск,https://hh.ru
8,Производитель работ/главный инженер,"{'min': 900, 'max': 2000, 'val': 'бел. руб'}",https://hh.ru/vacancy/40887436?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Янистрой,Барановичи,https://hh.ru
9,Инженер по ОТиПБ,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40624898?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Группа Партнер,"Москва, Беговая и еще 3 ",https://hh.ru
10,Инженер по сметной работе,"{'min': 700, 'max': 1000, 'val': 'бел. руб'}",https://hh.ru/vacancy/40887396?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Янистрой,Барановичи,https://hh.ru
11,Инженер по охране труда,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40595003?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ОАО СУ-66 ОАО Стройтрест №7,"Минск, Площадь Победы и еще 1 ",https://hh.ru
12,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975285?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Краснодар,https://hh.ru
13,Инженер по качеству,"{'min': 110000, 'max': 120000, 'val': 'руб'}",https://hh.ru/vacancy/40882857?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ТМХ Интернэшнл,Тверь,https://hh.ru
14,Инженер-энергетик,"{'min': 80000, 'val': 'руб'}",https://hh.ru/vacancy/40982703?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО АЗС-ИРБИС,Казань,https://hh.ru
15,Инженер,"{'min': 50000, 'max': 80000, 'val': 'руб'}",https://hh.ru/vacancy/40966447?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Юма,Ульяновск,https://hh.ru
16,Главный инженер,"{'min': 150000, 'max': 175000, 'val': 'руб'}",https://hh.ru/vacancy/40354578?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО Связьтранснефть,Казань,https://hh.ru
17,Инженер,"{'min': 70000, 'val': 'руб'}",https://hh.ru/vacancy/40950782?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Профиндустрия-Центр,Москва,https://hh.ru
18,Сервисный инженер/Инженер-электронщик,"{'min': 80000, 'max': 150000, 'val': 'руб'}",https://hh.ru/vacancy/40630100?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ИКС-Суппорт,"Москва, Щукинская",https://hh.ru
19,Главный инженер,"{'min': 350000, 'val': 'руб'}",https://hh.ru/vacancy/40979962?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,,Москва,https://hh.ru
20,Инженер ОВиК,"{'min': 92000, 'max': 92000, 'val': 'руб'}",https://hh.ru/vacancy/40165817?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Веза,Электросталь,https://hh.ru
21,Инженер-проектировщик,"{'min': 130000, 'val': 'руб'}",https://hh.ru/vacancy/40730384?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО СРК,Москва,https://hh.ru
22,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975289?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Тюмень,https://hh.ru
23,Инженер-электрик,"{'min': 500, 'max': 145000, 'val': 'руб'}",https://hh.ru/vacancy/39918887?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Мечтаево,Москва,https://hh.ru
24,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975286?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Ростов-на-Дону,https://hh.ru
25,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975293?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Майкоп,https://hh.ru
26,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975291?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Екатеринбург,https://hh.ru
27,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975288?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Якутск,https://hh.ru
28,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975294?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Омск,https://hh.ru
29,Главный инженер,"{'min': 100000, 'max': 150000, 'val': 'руб'}",https://hh.ru/vacancy/40960980?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Агрисовгаз,Санкт-Петербург,https://hh.ru
30,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975287?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Ставрополь,https://hh.ru
31,Инженер по комплектации,"{'min': 90000, 'val': 'руб'}",https://hh.ru/vacancy/40981537?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО РОССбилдинг,Тюмень,https://hh.ru
32,Инженер ВиК,"{'min': 100000, 'max': 140000, 'val': 'руб'}",https://hh.ru/vacancy/40617364?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Инженерные системы Эколайф,Москва,https://hh.ru
33,Инженер / Ведущий инженер (Отдел Главного инженера),"{'min': 60000, 'max': 90000, 'val': 'руб'}",https://hh.ru/vacancy/40976294?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Велесстрой,Новороссийск,https://hh.ru
34,Инженер КИПиА,"{'min': 80000, 'max': 85000, 'val': 'руб'}",https://hh.ru/vacancy/40842281?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Кондитерское объединение Sladial,Екатеринбург,https://hh.ru
35,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975290?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Нерюнгри,https://hh.ru
36,Главный инженер,"{'min': 170000, 'max': 180000, 'val': 'руб'}",https://hh.ru/vacancy/40975292?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО КРАСНОДАРГАЗСТРОЙ,Новосибирск,https://hh.ru
37,Инженер-лаборант,"{'min': 70000, 'val': 'руб'}",https://hh.ru/vacancy/40904335?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Альфамонолит,"Екатеринбург, Геологическая",https://hh.ru
38,Главный инженер,"{'min': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40987660?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ИП Карнаухов Дмитрий Александрович,"Москва, Пенягино",https://hh.ru
39,Инженер-конструктор,"{'min': 50000, 'max': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40470878?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ЮНА,"Санкт-Петербург, Василеостровская и еще 1 ",https://hh.ru
40,Инженер ПТО,"{'min': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40797868?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО АРМАДА,Санкт-Петербург,https://hh.ru
41,Инженер,"{'min': 30000, 'val': 'руб'}",https://hh.ru/vacancy/40753928?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, ФГУП ГРЧЦ Саратов,Саратов,https://hh.ru
42,Инженер ПТО,"{'min': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40765218?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Альфа-Пром,Тюмень,https://hh.ru
43,Инженер данных,"{'min': 110000, 'max': 150000, 'val': 'руб'}",https://hh.ru/vacancy/39433321?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Открытые Технологии,"Москва, Серпуховская",https://hh.ru
44,Инженер / Ведущий инженер (Отдел Главного инженера),"{'min': 60000, 'max': 90000, 'val': 'руб'}",https://hh.ru/vacancy/40976295?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Велесстрой,Геленджик,https://hh.ru
45,Инженер-проектировщик,"{'min': 120000, 'max': 140000, 'val': 'руб'}",https://hh.ru/vacancy/40420612?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,"ЗАО АМТ ИНЖИНИРИНГ,ЗАО",Москва,https://hh.ru
46,Инженер-электрик (удаленно),"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40901053?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ПРОЭЛЕКТРО,Казань,https://hh.ru
47,Инженер-испытатель,"{'max': 80000, 'val': 'руб'}",https://hh.ru/vacancy/40598198?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ОАО НПО ЦКТИ,Санкт-Петербург,https://hh.ru
48,Инженер-сметчик (инженер 1 категории),"{'min': 100, 'max': 100, 'val': 'руб'}",https://hh.ru/vacancy/40957158?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО СпецПроектПуть,"Екатеринбург, Динамо",https://hh.ru
49,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",https://hh.ru/vacancy/39771080?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГазАртСтрой,Ижевск,https://hh.ru
50,Инженер производственного отдела,"{'min': 700, 'val': 'бел. руб'}",https://hh.ru/vacancy/40836919?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ЗАО Белспецэнерго,"Минск, Пролетарская",https://hh.ru
51,Инженер,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40965573?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Полюс,Красноярск,https://hh.ru
52,Инженер-измеритель,"{'min': 60000, 'max': 90000, 'val': 'руб'}",https://hh.ru/vacancy/40689011?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, Russian Quantum Center,Москва,https://hh.ru
53,Инженер-проектировщик,"{'min': 60000, 'max': 120000, 'val': 'руб'}",https://hh.ru/vacancy/40800351?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Холдинг Айкью Технологии,Казань,https://hh.ru
54,Инженер ПТО,"{'min': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40800696?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Мультисистема,Москва,https://hh.ru
55,Инженер,"{'min': 60000, 'val': 'руб'}",https://hh.ru/vacancy/40649692?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Компания Альтаир,Ставрополь,https://hh.ru
56,Инженер по снабжению,"{'min': 60000, 'val': 'руб'}",https://hh.ru/vacancy/40882014?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Феникс,"Новосибирск, Октябрьская",https://hh.ru
57,Инженер-конструктор,"{'min': 40000, 'max': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40986624?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Азимут,Пенза,https://hh.ru
58,Инженер по качеству,"{'min': None, 'max': None, 'val': None}",https://hh.ru/vacancy/40852321?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ПетройлТюнинг,Тольятти,https://hh.ru
59,Инженер-конструктор,"{'min': 50000, 'max': 100000, 'val': 'руб'}",https://hh.ru/vacancy/40971404?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, ЭлитСтекло,"Екатеринбург, Динамо",https://hh.ru
60,Инженер ПТО ОВ ВК,"{'min': 80000, 'val': 'руб'}",https://hh.ru/vacancy/40774304?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО КС-Монтаж,Курск,https://hh.ru
61,Главный инженер,"{'min': 60000, 'val': 'руб'}",https://hh.ru/vacancy/40953513?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Ярославский Завод Жбк,Ярославль,https://hh.ru
62,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",https://hh.ru/vacancy/39771071?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ГазАртСтрой,Красноярск,https://hh.ru
63,Ведущий инженер,"{'min': 370000, 'val': 'KZT'}",https://hh.ru/vacancy/40959459?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ТОО АФЛП,Талгар,https://hh.ru
64,Инженер-конструктор,"{'min': 50000, 'val': 'руб'}",https://hh.ru/vacancy/40873549?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО Эксперт Групп,Таганрог,https://hh.ru
65,Инженер ПТО,"{'max': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40965434?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО «Птицефабрика «Чамзинская»,Саранск,https://hh.ru
66,Сервисный инженер,"{'min': 60000, 'val': 'руб'}",https://hh.ru/vacancy/40696277?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,АО АйТиСтор,Подольск (Московская область),https://hh.ru
67,Инженер СМО,"{'min': 70000, 'val': 'руб'}",https://hh.ru/vacancy/40806991?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ООО ПО Элером,Люберцы,https://hh.ru
68,Инженер-эколог,"{'min': 30000, 'max': 60000, 'val': 'руб'}",https://hh.ru/vacancy/40924368?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80, ЭКО центр,Ростов-на-Дону,https://hh.ru
69,Инженер по экспуатации,"{'min': 40000, 'max': 40000, 'val': 'руб'}",https://hh.ru/vacancy/40967236?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,ЗАО РТВЦ,Ростов-на-Дону,https://hh.ru
