_id,name,compensation,employer,address,link
41065436,Инженер-конструктор,"{'min': 80000, 'max': 120000, 'val': 'руб'}",ООО ТД Первый электротехнический,Москва,https://ramenskoye.hh.ru/vacancy/41065436?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41058366,Инженер-конструктор,"{'min': 600, 'val': 'белруб', 'max': None}",ИП Суворов П.И.,Минск,https://ramenskoye.hh.ru/vacancy/41058366?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39771068,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",ООО ГазАртСтрой,Омск,https://ramenskoye.hh.ru/vacancy/39771068?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40966953,Инженер ПТО,"{'min': 120000, 'val': 'руб', 'max': None}",ООО ГазАртСтрой,Астрахань,https://ramenskoye.hh.ru/vacancy/40966953?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40966406,Инженер ПТО,"{'min': 120000, 'max': 160000, 'val': 'руб'}",ООО ГазАртСтрой,Иркутск,https://ramenskoye.hh.ru/vacancy/40966406?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41071503,Инженер-сметчик,"{'min': None, 'max': None, 'val': None}",ООО ALLIANCEGROUP,Батуми,https://ramenskoye.hh.ru/vacancy/41071503?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40577798,Ведущий инженер ПТО,"{'min': 120000, 'max': 140000, 'val': 'руб'}",ООО ГазАртСтрой,Ростов-на-Дону,https://ramenskoye.hh.ru/vacancy/40577798?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40966401,Инженер ПТО,"{'min': 120000, 'val': 'руб', 'max': None}",ООО ГазАртСтрой,Новосибирск,https://ramenskoye.hh.ru/vacancy/40966401?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41077680,Сетевой инженер,"{'min': 200000, 'max': 200000, 'val': 'KZT'}",ТОО Adicom2000,Нур-Султан,https://ramenskoye.hh.ru/vacancy/41077680?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41065467,Инженер-робототехник,"{'min': None, 'max': None, 'val': None}", Гестамп Северсталь,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41065467?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40967184,Инженер ПТО,"{'min': 120000, 'val': 'руб', 'max': None}",ООО ГазАртСтрой,Барнаул,https://ramenskoye.hh.ru/vacancy/40967184?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40966951,Инженер ПТО,"{'min': 120000, 'val': 'руб', 'max': None}",ООО ГазАртСтрой,Новый Уренгой,https://ramenskoye.hh.ru/vacancy/40966951?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39948966,Инженер-метролог,"{'min': 70000, 'max': 120000, 'val': 'руб'}",ООО СпецМонтаж,"Москва, Говорово ",https://ramenskoye.hh.ru/vacancy/39948966?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40472344,Инженер-системотехник,"{'min': None, 'max': None, 'val': None}",ООО БайТехСервис,Минск,https://ramenskoye.hh.ru/vacancy/40472344?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40577801,Ведущий инженер ПТО,"{'min': 120000, 'max': 140000, 'val': 'руб'}",ООО ГазАртСтрой,Красноярск,https://ramenskoye.hh.ru/vacancy/40577801?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41067268,Инженер-архитектор,"{'min': 50000, 'max': 60000, 'val': 'руб'}",ООО Топэксперт,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41067268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41077129,Инженер по вентиляции и кондиционированию,"{'min': 250000, 'max': 300000, 'val': 'KZT'}",ООО Филиал ПП Благовест-С+Астана,Нур-Султан,https://ramenskoye.hh.ru/vacancy/41077129?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41027157,Инженер ПТО (комплексные системы безопастности),"{'min': 60000, 'max': 70000, 'val': 'руб'}",ООО АлпаЭксперт,"Санкт-Петербург, Балтийская",https://ramenskoye.hh.ru/vacancy/41027157?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40972646,Инженер-лаборант,"{'min': 3000000, 'max': 5000000, 'val': 'сум'}",ООО DURABLE MANAGEMENT,Ташкент,https://ramenskoye.hh.ru/vacancy/40972646?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40504904,Инженер по охране труда,"{'min': 1000, 'max': 500, 'val': 'белруб'}"," Аврорапласт, ЧУП",Бобруйск,https://ramenskoye.hh.ru/vacancy/40504904?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
38423440,Инженер технической поддержки,"{'max': 24000, 'val': 'руб', 'min': None}", Ростелеком Контакт-центр,Тула,https://ramenskoye.hh.ru/vacancy/38423440?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41042065,Инженер участка ГСМ,"{'min': 100000, 'val': 'руб', 'max': None}",ООО Таймыр-Энерго,Диксон,https://ramenskoye.hh.ru/vacancy/41042065?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40882857,Инженер по качеству,"{'min': 110000, 'max': 120000, 'val': 'руб'}",ООО ТМХ Интернэшнл,Тверь,https://ramenskoye.hh.ru/vacancy/40882857?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40751085,Инженер-конструктор,"{'min': 85000, 'max': 150000, 'val': 'руб'}",ООО Пакс-Дизайн,Красногорск,https://ramenskoye.hh.ru/vacancy/40751085?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41031553,Старший сервисный инженер,"{'min': 147000, 'max': 163000, 'val': 'руб'}", Национальный кадровый центр,Москва,https://ramenskoye.hh.ru/vacancy/41031553?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40832552,Инженер-механик,"{'min': 400, 'val': 'EUR', 'max': None}", Бараковская Светлана Михайловна,Москва,https://ramenskoye.hh.ru/vacancy/40832552?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40970932,Инженер-строитель/инженер по строительному контролю,"{'min': 80000, 'max': 120000, 'val': 'руб'}",ООО Инстройгаз,Пермь,https://ramenskoye.hh.ru/vacancy/40970932?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40980594,Инженер ПТО,"{'min': 80000, 'max': 110000, 'val': 'руб'}",ООО ПН СтройИнновация,Пермь,https://ramenskoye.hh.ru/vacancy/40980594?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41079268,Главный инженер,"{'min': 200000, 'max': 300000, 'val': 'руб'}", Артель старателей Дражник,Якутск,https://ramenskoye.hh.ru/vacancy/41079268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40856995,Младший инженер-технолог,"{'min': 56000, 'val': 'руб', 'max': None}",ООО Оптосенс,"Санкт-Петербург, Удельная",https://ramenskoye.hh.ru/vacancy/40856995?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40816439,Инженер-электрик,"{'min': 400, 'val': 'EUR', 'max': None}", Бараковская Светлана Михайловна,Москва,https://ramenskoye.hh.ru/vacancy/40816439?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41060206,Инженер-энергетик,"{'min': 500, 'max': 500, 'val': 'руб'}",ООО Калужский Цветочный Холдинг,Малоярославец,https://ramenskoye.hh.ru/vacancy/41060206?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40558677,Младший инженер-технолог,"{'min': None, 'max': None, 'val': None}", Essity,Светогорск,https://ramenskoye.hh.ru/vacancy/40558677?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41025564,Инженер-техник,"{'min': 45000, 'val': 'руб', 'max': None}",ООО Компания Апекслаб,Брянск,https://ramenskoye.hh.ru/vacancy/41025564?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40797911,Инженер-технолог,"{'min': 20000, 'val': 'грн', 'max': None}",ООО СЕРВИС ОЙЛ,Полтава,https://ramenskoye.hh.ru/vacancy/40797911?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40715398,Ведущий системный инженер,"{'min': 138000, 'max': 138000, 'val': 'руб'}", Ticketland.ru,"Москва, Павелецкая",https://ramenskoye.hh.ru/vacancy/40715398?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41046680,Инженер-конструктор,"{'min': 100000, 'val': 'руб', 'max': None}",ООО Профиль-БМ,Москва,https://ramenskoye.hh.ru/vacancy/41046680?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
