_id,name,compensation,employer,address,link
34647525,Инженер по охране труда и технике безопасности,"{'min': 52000, 'val': 'руб', 'max': None}",Перекресток,Раменское,/vakansii/inzhener-po-ohrane-truda-i-tehnike-bezopasnosti-34647525.html
35098989,Инженер-механик ДЭС,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-mehanik-des-35098989.html
34246029,"Инженер-конструктор (КМ, КЖ)","{'min': 100000, 'val': 'руб', 'max': None}",Морозко,Раменское,/vakansii/inzhener-konstruktor-34246029.html
35266817,Инженер-химик пробирного анализа ЦПАЛ,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-himik-probirnogo-analiza-cpal-35266817.html
35324371,Инженер по надзору за строительством,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-po-nadzoru-za-stroitelstvom-35324371.html
35078654,Инженер по наладке и испытаниям,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-po-naladke-i-ispytaniyam-35078654.html
35272031,Инженер-химик по качеству (Ново-Широкинский Рудник),"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-himik-po-kachestvu-35272031.html
33962224,Инженер по безопасности дорожного движения,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-po-bezopasnosti-dorozhnogo-dvizheniya-33962224.html
35271004,Инженер-исследователь (Ново-Широкинский Рудник),"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-issledovatel-35271004.html
35075715,Инженер КИПиА,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-kipia-35075715.html
35269961,Инженер АСУТП (Ново-Широкинский Рудник),"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Раменское,/vakansii/inzhener-asutp-35269961.html
34772798,Инженер СУЗ (Чукотский автономный округ),"{'max': 900, 'val': 'руб', 'min': None}",АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике,Балашиха,/vakansii/inzhener-suz-34772798.html
32583554,Ведущий инженер отдела разработки НКУ (АСУТП),"{'min': 80000, 'val': 'руб', 'max': None}",Плазма-Т,Москва,/vakansii/veduschij-inzhener-otdela-razrabotki-nku-32583554.html
35171283,"Инженер технической поддержки (ip видеонаблюдение, ОПС, СКУД)","{'min': 70000, 'val': 'руб', 'max': None}",Staffmax,Москва,/vakansii/inzhener-tehnicheskoj-podderzhki-35171283.html
35269136,"Инженер-конструктор, Проектировщик","{'min': 70000, 'val': 'руб', 'max': None}",КонсалтПромТорг,Москва,/vakansii/inzhener-konstruktor-35269136.html
25436901,Инженер / Техник по эксплуатации,"{'min': 50000, 'val': 'руб', 'max': None}",АЛЬФА,Москва,/vakansii/inzhener-25436901.html
35126710,Инженер по ремонту компьютерной техники,"{'min': 50000, 'val': 'руб', 'max': None}",АСК-сервис,Москва,/vakansii/inzhener-po-remontu-kompyuternoj-tehniki-35126710.html
34800916,Инженер-конструктор/ ведущий инженер-конструктор (проектирование ракет-носителей),"{'min': None, 'max': None, 'val': None}",ГКНПЦ имени М. В. Хруничева,Москва,/vakansii/inzhener-konstruktor-34800916.html
