_id,name,min,max,val,employer,address,link
39771068,Инженер ПТО,120000.0,160000.0,руб,ООО ГазАртСтрой,Омск,https://ramenskoye.hh.ru/vacancy/39771068?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40967184,Инженер ПТО,120000.0,,руб,ООО ГазАртСтрой,Барнаул,https://ramenskoye.hh.ru/vacancy/40967184?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39929461,Инженер-технолог,,,,АО ТомскНИПИнефть,Томск,https://ramenskoye.hh.ru/vacancy/39929461?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41106078,Сервисный инженер,80000.0,130000.0,руб, Инженер-сервис,"Москва, Нагатинская",https://ramenskoye.hh.ru/vacancy/41106078?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41086242,Главный инженер,,,, Hyatt Regency Tashkent,Нур-Султан,https://ramenskoye.hh.ru/vacancy/41086242?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41114015,Инженер ПТО,80000.0,,руб,ООО Нова-Строй,Москва,https://ramenskoye.hh.ru/vacancy/41114015?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41085819,Главный инженер,,,, Hyatt Regency Tashkent,Ташкент,https://ramenskoye.hh.ru/vacancy/41085819?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41104896,Инженер-эколог,500.0,,белруб,УП Филиал №1 Унитарного предприятия Вторичный щебень,Минск,https://ramenskoye.hh.ru/vacancy/41104896?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41065436,Инженер-конструктор,80000.0,120000.0,руб,ООО ТД Первый электротехнический,Москва,https://ramenskoye.hh.ru/vacancy/41065436?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41129452,Инженер-сметчик,500.0,,белруб,ООО ТехМедика,Минск,https://ramenskoye.hh.ru/vacancy/41129452?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40421299,Инженер по охране труда,100.0,,белруб,ООО Ресторация,Минск,https://ramenskoye.hh.ru/vacancy/40421299?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41071503,Инженер-сметчик,,,,ООО ALLIANCEGROUP,Батуми,https://ramenskoye.hh.ru/vacancy/41071503?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41114248,Инженер-сметчик,100000.0,200000.0,KZT,ТОО СМК-Атамекен,Актау,https://ramenskoye.hh.ru/vacancy/41114248?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41077680,Сетевой инженер,200000.0,200000.0,KZT,ТОО Adicom2000,Нур-Султан,https://ramenskoye.hh.ru/vacancy/41077680?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41058366,Инженер-конструктор,600.0,,белруб,ИП Суворов П.И.,Минск,https://ramenskoye.hh.ru/vacancy/41058366?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41065467,Инженер-робототехник,,,, Гестамп Северсталь,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41065467?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41067268,Инженер-архитектор,50000.0,60000.0,руб,ООО Топэксперт,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41067268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41113417,Инженер БПЛА,100000.0,300000.0,руб,ООО ЧОО Легат,Москва,https://ramenskoye.hh.ru/vacancy/41113417?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41096181,Инженер ПТО,80000.0,120000.0,руб,ООО Группа инженерно-технического сопровождения строительства,Москва,https://ramenskoye.hh.ru/vacancy/41096181?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41098308,Главный инженер,,140000.0,руб,ООО Дёке Экстружн,Киржач,https://ramenskoye.hh.ru/vacancy/41098308?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41097031,Главный инженер,106000.0,106000.0,руб,АО Волга Айс,Чебоксары,https://ramenskoye.hh.ru/vacancy/41097031?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41104564,Главный инженер,200000.0,,руб,ПАО Русолово,Новосибирск,https://ramenskoye.hh.ru/vacancy/41104564?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41080540,Инженер ПТО,95000.0,,руб,ООО Технопром Инжиниринг,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41080540?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41105797,Инженер-технолог,790.0,,руб,АО НТ Лавна,Мурманск,https://ramenskoye.hh.ru/vacancy/41105797?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41110005,Инженер - энергетик,100000.0,,руб,ООО Строительные направления,Курск,https://ramenskoye.hh.ru/vacancy/41110005?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41104561,Главный инженер,200000.0,,руб,ПАО Русолово,Кемерово,https://ramenskoye.hh.ru/vacancy/41104561?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41100000,Инженер ПТО,90000.0,130000.0,руб,ООО Идеалстройинвест Уфа,Уфа,https://ramenskoye.hh.ru/vacancy/41100000?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41079268,Главный инженер,200000.0,300000.0,руб, Артель старателей Дражник,Якутск,https://ramenskoye.hh.ru/vacancy/41079268?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41005406,Инженер ПТО,100000.0,,руб,ООО Инжиниринг СтройСервис,Заполярный (Ямало-Ненецкий АО),https://ramenskoye.hh.ru/vacancy/41005406?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40882857,Инженер по качеству,110000.0,120000.0,руб,ООО ТМХ Интернэшнл,Тверь,https://ramenskoye.hh.ru/vacancy/40882857?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41099720,Главный инженер,150000.0,,руб, ProfiStaff,Москва,https://ramenskoye.hh.ru/vacancy/41099720?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40816439,Инженер-электрик,400.0,,EUR, Бараковская Светлана Михайловна,Москва,https://ramenskoye.hh.ru/vacancy/40816439?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41104586,Главный инженер,100000.0,150000.0,руб,ООО СтройИнвест,Подольск (Московская область),https://ramenskoye.hh.ru/vacancy/41104586?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40751085,Инженер-конструктор,85000.0,150000.0,руб,ООО Пакс-Дизайн,Красногорск,https://ramenskoye.hh.ru/vacancy/40751085?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
