_id,name,min,max,val,employer,address,link
34647525,Инженер по охране труда и технике безопасности,52000.0,,руб,Перекресток,Раменское,https://superjob.ru/vakansii/inzhener-po-ohrane-truda-i-tehnike-bezopasnosti-34647525.html
35098989,Инженер-механик ДЭС,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-mehanik-des-35098989.html
34246029,"Инженер-конструктор (КМ, КЖ)",100000.0,,руб,Морозко,Раменское,https://superjob.ru/vakansii/inzhener-konstruktor-34246029.html
35266817,Инженер-химик пробирного анализа ЦПАЛ,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-himik-probirnogo-analiza-cpal-35266817.html
35324371,Инженер по надзору за строительством,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-po-nadzoru-za-stroitelstvom-35324371.html
35078654,Инженер по наладке и испытаниям,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-po-naladke-i-ispytaniyam-35078654.html
35272031,Инженер-химик по качеству (Ново-Широкинский Рудник),,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-himik-po-kachestvu-35272031.html
33962224,Инженер по безопасности дорожного движения,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-po-bezopasnosti-dorozhnogo-dvizheniya-33962224.html
35271004,Инженер-исследователь (Ново-Широкинский Рудник),,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-issledovatel-35271004.html
35075715,Инженер КИПиА,,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-kipia-35075715.html
35269961,Инженер АСУТП (Ново-Широкинский Рудник),,,,Руссдрагмет,Раменское,https://superjob.ru/vakansii/inzhener-asutp-35269961.html
35171220,Ведущий инженер-сметчик ОВиК,70000.0,,руб,Staffmax,Москва,https://superjob.ru/vakansii/veduschij-inzhener-smetchik-ovik-35171220.html
25436901,Инженер / Техник по эксплуатации,50000.0,,руб,АЛЬФА,Москва,https://superjob.ru/vakansii/inzhener-25436901.html
35107631,QA инженер,,,,Фабрика Решений,Москва,https://superjob.ru/vakansii/qa-inzhener-35107631.html
34800916,Инженер-конструктор/ ведущий инженер-конструктор (проектирование ракет-носителей),,,,ГКНПЦ имени М. В. Хруничева,Москва,https://superjob.ru/vakansii/inzhener-konstruktor-34800916.html
35294429,"Главный инженер проекта (химия, нефтехимия, медицина)",,,,,Москва,https://superjob.ru/vakansii/glavnyj-inzhener-proekta-35294429.html
